unique_sample_ids	analysis_sample_names	mouse_id	dob	cage	unique_id_extended	box	box_location	description	mouse_strain	path_rrbs	directory_rrbs	raw_sample_names_rrbs	Experiment Name	alignment_bams_rrbs	raw_sample_names_rnaseq	raw_sample_names_rnaseq_new	Sex	Total_duration_on_diet_months	starting_control_diet_acclimation	staring_experimental_diets	original_Diet	duration_of_reversion_months	duration_of_reversion_group	current_Diet	reversal_status	reversion_date	reversal_diet	tissue	sample_notes	takedown_condition	takedown_date
keto_2_10	keto_2_10	10	3_16_2019	keto-2	keto_2_10_7_22_20	TD17	Hillside-2-A-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_55	Keto_2-10-F_SF_Ileum_7_22_20_S82_L003	Keto 2-10-F SF Ileum 7/22/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_2_10.bam	Keto_2-10-F_5_S12	Keto_2-10-F_5_S12	F	13	5_28_2019	6_18_2019	keto	4	early	control	YES	4/2/20	keto_to_control	Ilium SF	sequencing	keto_rev	7_22_20
keto_2_6	keto_2_6	6	3_16_2019	keto-2	keto_2_6_8_4_20	TD20	Hillside-2-A-04	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_65	Keto_2-6-F_SF_Ileum_8_4_20_S92_L003	Keto 2-6-F SF Ileum 8/4/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_2_6.bam	Keto_2-6-F_15_S64	Keto_2-6-F_15_S64	F	13	5_28_2019	6_18_2019	keto	0	NR	keto	NO	NA	NO	Ilium SF	sequencing	keto	8_4_20
keto_2_7	keto_2_7	7	3_16_2019	keto-2	keto_2_7_8_10_20	TD29	Hillside-2-A-13	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_97	Keto_2-7-F_SF_Ileum_8_10_20_S50_L002	Keto 2-7-F SF Ileum 8/10/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_2_7.bam	Keto_2-7-F_8_10_20_15_S61	Keto_2-7-F_8_10_20_15_S61	F	13	5_28_2019	6_18_2019	keto	0	NR	keto	NO	NA	NO	Ilium SF	cryobanking	keto	8_10_20
keto_2_8	keto_2_8	8	3_16_2019	keto-2	keto_2_8_7_22_20	TD16	Hillside-1-A-16	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_52	Keto_2-8-F_SF_Ileum_7_22_20_S79_L003	Keto 2-8-F SF Ileum 7/22/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_2_8.bam	Keto_2-8-F_2_S15	Keto_2-8-F_2_S15	F	13	5_28_2019	6_18_2019	keto	9	late	control	YES	10/4/19	keto_to_control	Ilium SF	sequencing	keto_rev	7_22_20
keto_3_2	keto_3_2	2	3_16_2019	keto-3	keto_3_2_7_14_20	TD8	Hillside-1-A-08	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_16	Keto_3-2-M_SF_Ileum_7_14_20_S15_L002	Keto 3-2-M SF Ileum 7/14/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_3_2.bam	Keto_3-2-M__S68	Keto_3-2-M__S68	M	12	5_28_2019	6_18_2019	keto	0	NR	keto	NO	NA	NO	Ilium SF	sequencing	keto	7_14_20
keto_3_5	keto_3_5	5	3_16_2019	keto-3	keto_3_5_7_22_20	TD16	Hillside-1-A-16	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_53	Keto_3-5-M_SF_Ileum_7_22_20_S80_L003	Keto 3-5-M SF Ileum 7/22/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_3_5.bam	Keto_3-5-M_3_S13	Keto_3-5-M_3_S13	M	13	5_28_2019	6_18_2019	keto	4	early	control	YES	4/2/20	keto_to_control	Ilium SF	sequencing	keto_rev	7_22_20
keto_4_8	keto_4_8	8	3_16_2019	keto-4	keto_4_8_7_22_20	TD16	Hillside-1-A-16	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_51	Keto_4-8-M_SF_Ileum_7_22_20_S48_L002	Keto 4-8-M SF Ileum 7/22/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_4_8.bam	Keto_4-8-M_1_S16	Keto_4-8-M_1_S16	M	13	5_28_2019	6_18_2019	keto	0	NR	keto	NO	NA	NO	Ilium SF	sequencing	keto	7_22_20
keto_4_9	keto_4_9	9	3_16_2019	keto-4	keto_4_9_8_7_20	TD27	Hillside-2-A-11	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_87	Keto_4-9-M_SF_Ileum_8_7_20_S113_L003	Keto 4-9-M SF Ileum 8/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_4_9.bam	Keto_4-9-M_5_S63	Keto_4-9-M_5_S63	M	13	5_28_2019	6_18_2019	keto	0	NR	keto	NO	NA	NO	Ilium SF	cryobanking	keto	8_7_20
lard_1_1	lard_1_1	1	3_16_2019	lard-1	lard_1_1_7_13_20	TD7	Hillside-1-A-07	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_14	Lard_1-1-F_SF_Ileum_7_13_20_S13_L002	Lard 1-1-F SF Ileum 7/13/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_1_1.bam	Lard_1-1-F_S34	Lard_1-1-F_S34	M	12	5_28_2019	6_18_2019	lard	8	late	control	YES	10/4/19	lard_to_control	Ilium SF	cyrobanking	lard_rev	7_13_20
lard_1_2	lard_1_2	7	3_16_2019	lard-4	lard_1_2_7_13_20	TD7	Hillside-1-A-07	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_18	Lard_1-2-F_SF_Ileum_7_13_20_S17_L002	Lard 1-2-F SF Ileum 7/13/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_1_2.bam	Lard_1-2-F_S30	Lard_1-2-F_S30	M	12	5_28_2019	6_18_2019	lard	3	early	control	YES	4/2/20	lard_to_control	Ilium SF	cyrobanking	lard_rev	7_13_20
lard_1_5	lard_1_5	5	3_16_2019	lard-1	lard_1_5_7_7_20	TD2	Hillside-1-A-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_7	Lard_1-5-F_SF_Ileum_7_7_20_S6_L002	Lard 1-5-F SF Ileum 7/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_1_5.bam	Lard_1-5-F_S78	Lard_1-5-F_S78	F	12	5_28_2019	6_18_2019	lard	3	early	control	YES	4/2/20	lard_to_control	Ilium SF	cyrobanking	lard_rev	7_7_20
lard_2_10	lard_2_10	6	3_16_2019	lard-4	lard_2_10_7_13_20	TD7	Hillside-1-A-07	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_17	Lard_2-10-F_SF_Ileum_7_13_20_S16_L002	Lard 2-10-F SF Ileum 7/13/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_2_10.bam	lard_2_10_7_13_20	Lard_2-10-F_S31	M	12	5_28_2019	6_18_2019	lard	3	early	control	YES	4/2/20	lard_to_control	Ilium SF	cyrobanking	lard_rev	7_13_20
lard_2_7	lard_2_7	7	3_16_2019	lard-2	lard_2_7_7_7_20	TD2	Hillside-1-A-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_20	Lard_2-7-F_SF_Ileum_7_7_20_S19_L002	Lard 2-7-F SF Ileum 7/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_2_7.bam	Lard_2-7-F_2_S74	Lard_2-7-F_2_S74	F	12	5_28_2019	6_18_2019	lard	0	NR	lard	NO	NA	NO	Ilium SF	cyrobanking	lard	7_7_20
lard_2_8	lard_2_8	8	3_16_2019	lard-2	lard_2_8_7_7_20	TD2	Hillside-1-A-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_6	Lard_2-8-F_SF_Ileum_7_7_20_S5_L002	Lard 2-8-F SF Ileum 7/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_2_8.bam	Lard_2-8-F_S36	Lard_2-8-F_S36	F	12	5_28_2019	6_18_2019	lard	8	late	control	YES	10/4/19	lard_to_control	Ilium SF	cyrobanking	lard_rev	7_7_20
lard_2_9	lard_2_9	9	3_16_2019	lard-2	lard_2_9_8_11_20	TD30	Hillside-2-A-14	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_101	Lard_2-9-F_SF_Ileum_8_11_20_S125_L003	Lard 2-9-F SF Ileum 8/11/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_2_9.bam	Lard_2-9-F_3_S76	Lard_2-9-F_3_S76	F	13	5_28_2019	6_18_2019	lard	0	NR	lard	NO	NA	NO	Ilium SF	cryobanking	lard	8_11_20
lard_3_1	lard_3_1	1	3_16_2019	Lard-3	lard_3_1_7_2_20	TD1	Hillside-1-A-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_3	Lard_3-1-M_SF_Ileum_7_2_20_S76_L003	Lard 3-1-M SF Ileum 7/2/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_3_1.bam	Lard_3-1-M_S79	Lard_3-1-M_S79	M	12	5_28_2019	6_18_2019	lard	0	NR	lard	NO	NA	NO	Ilium SF	Lard n=1 single cell take-down	lard	7_2_20
lard_3_3	lard_3_3	3	3_16_2019	Lard-3	lard_3_3_7_2_20	TD1	Hillside-1-A-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_5	Lard_3-3-M_SF_Ileum_7_2_20_S4_L002	Lard 3-3-M SF Ileum 7/2/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_3_3.bam	Lard_3-3-M_S33	Lard_3-3-M_S33	M	12	5_28_2019	6_18_2019	lard	3	early	control	YES	4/2/20	lard_to_control	Ilium SF	Lard n=1 single cell take-down	lard_rev	7_2_20
lard_3_5	lard_3_5	5	3_16_2019	Lard-3	lard_3_5_7_2_20	TD1	Hillside-1-A-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_4	Lard_3-5-M_SF_Ileum_7_2_20_S3_L002	Lard 3-5-M SF Ileum 7/2/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_3_5.bam	Lard_3-5-M_S37	Lard_3-5-M_S37	M	12	5_28_2019	6_18_2019	lard	8	late	control	YES	10/4/19	lard_to_control	Ilium SF	Lard n=1 single cell take-down	lard_rev	7_2_20
lard_4_10	lard_4_10	10	3_16_2019	lard-4	lard_4_10_8_6_20	TD25	Hillside-2-A-09	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_89	Lard_4-10-M_SF_Ileum_8_6_20_S115_L003	Lard 4-10-M SF Ileum 8/6/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_4_10.bam	Lard_4-10-M_7_S29	Lard_4-10-M_7_S29	M	13	5_28_2019	6_18_2019	lard	4	early	control	YES	4/2/20	lard_to_control	Ilium SF	cryobanking	lard_rev	8_6_20
lard_4_6	lard_4_6	6	3_16_2019	lard-4	lard_4_6_7_13_20	TD6	Hillside-1-A-06	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_12	Lard_4-6-M_SF_Ileum_7_13_20_S11_L002	Lard 4-6-M SF Ileum 7/13/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_4_6.bam	Lard_4-6-M_S35	Lard_4-6-M_S35	M	12	5_28_2019	6_18_2019	lard	8	late	control	YES	10/4/19	lard_to_control	Ilium SF	sequencing	lard_rev	7_13_20
lard_4_7	lard_4_7	7	3_16_2019	lard-4	lard_4_7_7_13_20	TD6	Hillside-1-A-06	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_13	Lard_4-7-M_SF_Ileum_7_13_20_S12_L002	Lard 4-7-M SF Ileum 7/13/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_4_7.bam	Lard_4-7-M_S32	Lard_4-7-M_S32	M	12	5_28_2019	6_18_2019	lard	3	early	control	YES	4/2/20	lard_to_control	Ilium SF	sequencing	lard_rev	7_13_20
lard_4_8	lard_4_8	8	3_16_2019	lard-4	lard_4_8_7_13_20	TD6	Hillside-1-A-06	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_11	Lard_4-8-M_SF_Ileum_7_13_20_S10_L002	Lard 4-8-M SF Ileum 7/13/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_4_8.bam	Lard_4-8-M_S77	Lard_4-8-M_S77	M	12	5_28_2019	6_18_2019	lard	0	NR	lard	NO	NA	NO	Ilium SF	sequencing	lard	7_13_20
lard_4_9	lard_4_9	9	3_16_2019	lard-4	lard_4_9_8_7_20	TD26	Hillside-2-A-10	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_98	Lard_4-9-M_SF_Ileum_8_7_20_S51_L002	Lard 4-9-M SF Ileum 8/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_lard_4_9.bam	Lard_4-9-M_16_S75	Lard_4-9-M_16_S75	M	13	5_28_2019	6_18_2019	lard	0	NR	lard	NO	NA	NO	Ilium SF	cryobanking	lard	8_7_20
milk_1_1	milk_1_1	1	3_16_2019	milk-1	milk_1_1_7_20_20	TD12	Hillside-1-A-12	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_38	Milk_1-1-F_SF_Ileum_7_20_20_S35_L002	Milk 1-1-F SF Ileum 7/20/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_1_1.bam	Milk_1-1-F_5_S8	Milk_1-1-F_5_S8	F	13	5_28_2019	6_18_2019	milk	9	late	control	YES	10/4/19	milk_to_control	Ilium SF	cyrobanking	milk_rev	7_20_20
milk_1_5	milk_1_5	5	3_16_2019	milk-1	milk_1_5_8_4_20	TD21	Hillside-2-A-05	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_70	Milk_1-5-F_SF_Ileum_8_4_20_S97_L003	Milk 1-5-F SF Ileum 8/4/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_1_5.bam	Milk_1-5-F_4_S98	Milk_1-5-F_4_S98	F	13	5_28_2019	6_18_2019	milk	4	early	control	YES	4/2/20	milk_to_control	Ilium SF	cryobanking	milk_rev	8_4_20
milk_2_6	milk_2_6	6	3_16_2019	milk-2	milk_2_6_8_4_20	TD21	Hillside-2-A-05	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_69	Milk_2-6-F_SF_Ileum_8_4_20_S96_L003	Milk 2-6-F SF Ileum 8/4/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_2_6.bam	Milk_2-6-F_3_S95	Milk_2-6-F_3_S95	F	13	5_28_2019	6_18_2019	milk	9	late	control	YES	10/4/19	milk_to_control	Ilium SF	cryobanking	milk_rev	8_4_20
milk_2_7	milk_2_7	7	3_16_2019	milk-2	milk_2_7_7_20_20	TD12	Hillside-1-A-12	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_37	Milk_2-7-F_SF_Ileum_7_20_20_S34_L002	Milk 2-7-F SF Ileum 7/20/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_2_7.bam	Milk_2-7-F_4_S54	Milk_2-7-F_4_S54	F	13	5_28_2019	6_18_2019	milk	0	NR	milk	NO	NA	NO	Ilium SF	cyrobanking	milk	7_20_20
milk_2_8	milk_2_8	8	3_16_2019	milk-2	milk_2_8_7_20_20	TD12	Hillside-1-A-12	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_41	Milk_2-8-F_SF_Ileum_7_20_20_S38_L002	Milk 2-8-F SF Ileum 7/20/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_2_8.bam	Milk_2-8-F_8_S97	Milk_2-8-F_8_S97	F	13	5_28_2019	6_18_2019	milk	4	early	control	YES	4/2/20	milk_to_control	Ilium SF	cyrobanking	milk_rev	7_20_20
milk_2_9	milk_2_9	9	3_16_2019	milk-2	milk_2_9_8_4_20	TD21	Hillside-2-A-05	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_71	Milk_2-9-F_SF_Ileum_8_4_20_S98_L003	Milk 2-9-F SF Ileum 8/4/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_2_9.bam	Milk_2-9-F_5_S99	Milk_2-9-F_5_S99	F	13	5_28_2019	6_18_2019	milk	4	early	control	YES	4/2/20	milk_to_control	Ilium SF	cryobanking	milk_rev	8_4_20
milk_3_1	milk_3_1	1	3_16_2019	milk-3	milk_3_1_7_8_20	TD4	Hillside-1-A-04	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_22	Milk_3-1-M_SF_Ileum_7_8_20_S21_L002	Milk 3-1-M SF Ileum 7/8/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_3_1.bam	Milk_3-1-M_4_S10	Milk_3-1-M_4_S10	M	12	5_28_2019	6_18_2019	milk	8	late	control	YES	10/4/19	milk_to_control	Ilium SF	cyrobanking	milk_rev	7_8_20
milk_3_4	milk_3_4	4	3_16_2019	milk-3	milk_3_4_7_8_20	TD4	Hillside-1-A-04	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_23	Milk_3-4-M_SF_Ileum_7_8_20_S22_L002	Milk 3-4-M SF Ileum 7/8/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_3_4.bam	Milk_3-4-M_5_S96	Milk_3-4-M_5_S96	M	12	5_28_2019	6_18_2019	milk	3	early	control	YES	4/2/20	milk_to_control	Ilium SF	cyrobanking	milk_rev	7_8_20
milk_4_6	milk_4_6	6	3_16_2019	milk-4	milk_4_6_7_8_20	TD4	Hillside-1-A-04	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_21	Milk_4-6-M_SF_Ileum_7_8_20_S20_L002	Milk 4-6-M SF Ileum 7/8/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_4_6.bam	Milk_4-6-M_3_S48	Milk_4-6-M_3_S48	M	12	5_28_2019	6_18_2019	milk	0	NR	milk	NO	NA	NO	Ilium SF	cyrobanking	milk	7_8_20
milk_4_8	milk_4_8	8	3_16_2019	milk-4	milk_4_8_7_8_20	TD5	Hillside-1-A-05	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_25	Milk_4-8-M_SF_Ileum_7_8_20_S78_L003	Milk 4-8-M SF Ileum 7/8/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_4_8.bam	Milk_4-8-M_7_S9	Milk_4-8-M_7_S9	M	12	5_28_2019	6_18_2019	milk	8	late	control	YES	10/4/19	milk_to_control	Ilium SF	cyrobanking	milk_rev	7_8_20
milk_4_9	milk_4_9	9	3_16_2019	milk-4	milk_4_9_7_8_20	TD5	Hillside-1-A-05	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_24	Milk_4-9-M_SF_Ileum_7_9_20_S77_L003	Milk 4-9-M SF Ileum 7/9/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_milk_4_9.bam	Milk_4-9-M_6_S62	Milk_4-9-M_6_S62	M	12	5_28_2019	6_18_2019	milk	0	NR	milk	NO	NA	NO	Ilium SF	cyrobanking	milk	7_8_20
olive_1_1	olive_1_1	1	3_16_2019	Olive-1	Olive_1_1_6_23_20	UD4	Hillside-1-B-07	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_104	Olive_1-1-F_SF_Ileum_6_23_20_S52_L002	Olive 1-1-F SF Ileum 6/23/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_1_1.bam	Olive_1-1-F_7_S57	Olive_1-1-F_7_S57	F	12	5_28_2019	6_18_2019	olive	0	NR	olive	NO	NA	NO	Ilium SF	Taken down due to poor body comp.	olive	6_23_20
olive_1_4	olive_1_4	4	3_16_2019	olive-1	olive_1_4_7_21_20	TD15	Hillside-1-A-15	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_49	Olive_1-4-F_SF_Ileum_7_21_20_S46_L002	Olive 1-4-F SF Ileum 7/21/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_1_4.bam	Olive_1-4-F_16_S101	Olive_1-4-F_16_S101	F	13	5_28_2019	6_18_2019	olive	9	late	control	YES	10/4/19	olive_to_control	Ilium SF	cryobanking	olive_rev	7_21_20
olive_1_5	olive_1_5	5	3_16_2019	olive-1	olive_1_5_7_21_20	TD15	Hillside-1-A-15	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_50	Olive_1-5-F_SF_Ileum_7_21_20_S47_L002	Olive 1-5-F SF Ileum 7/21/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_1_5.bam	Olive_1-5-F_1_S104	Olive_1-5-F_1_S104	F	13	5_28_2019	6_18_2019	olive	4	early	control	YES	4/2/20	olive_to_control	Ilium SF	cryobanking	olive_rev	7_21_20
olive_2_10	olive_2_10	10	3_16_2019	olive-2	olive_2_10_7_23_20	TD19	Hillside-2-A-03	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_64	Olive_2-10-F_SF_Ileum_7_23_20_S91_L003	Olive 2-10-F SF Ileum 7/23/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_2_10.bam	Olive_2-10-F_14_S106	Olive_2-10-F_14_S106	F	13	5_28_2019	6_18_2019	olive	4	early	control	YES	4/2/20	olive_to_control	Ilium SF	sequencing	olive_rev	7_23_20
olive_2_6	olive_2_6	6	3_16_2019	olive-2	olive_2_6_7_21_20	TD15	Hillside-1-A-15	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_48	Olive_2-6-F_SF_Ileum_7_21_20_S45_L002	Olive 2-6-F SF Ileum 7/21/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_2_6.bam	Olive_2-6-F_15_S58	Olive_2-6-F_15_S58	F	13	5_28_2019	6_18_2019	olive	0	NR	olive	NO	NA	NO	Ilium SF	cryobanking	olive	7_21_20
olive_2_7	olive_2_7	7	3_16_2019	olive-2	olive_2_7_7_23_20	TD19	Hillside-2-A-03	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_62	Olive_2-7-F_SF_Ileum_7_23_20_S89_L003	Olive 2-7-F SF Ileum 7/23/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_2_7.bam	Olive_2-7-F_12_S47	Olive_2-7-F_12_S47	F	13	5_28_2019	6_18_2019	olive	0	NR	olive	NO	NA	NO	Ilium SF	cryobanking	olive	7_23_20
olive_2_8	olive_2_8	8	3_16_2019	olive-2	olive_2_8_7_23_20	TD19	Hillside-2-A-03	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_63	Olive_2-8-F_SF_Ileum_7_23_20_S90_L003	Olive 2-8-F SF Ileum 7/23/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_2_8.bam	Olive_2-8-F_13_S102	Olive_2-8-F_13_S102	F	13	5_28_2019	6_18_2019	olive	9	late	control	YES	10/4/19	olive_to_control	Ilium SF	cryobanking	olive_rev	7_23_20
olive_2_9	olive_2_9	9	3_16_2019	Olive-2	Olive_2_9_6_19_20	UD4	Hillside-1-B-07	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_105	Olive_2-9-F_SF_Ileum_6_19_20_S53_L002	Olive 2-9-F SF Ileum 6/19/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_2_9.bam	Olive_2-9-F_8_S108	Olive_2-9-F_8_S108	F	12	5_28_2019	6_18_2019	olive	3	early	control	YES	4/2/20	olive_to_control	Ilium SF	Taken down due to poor body comp.	olive_rev	6_19_20
olive_3_2	olive_3_2	2	3_16_2019	olive-3	olive_3_2_7_15_20	TD11	Hillside-1-A-11	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_33	Olive_3-2-M_SF_Ileum_7_15_20_S30_L002	Olive 3-2-M SF Ileum 7/15/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_olive_3_2.bam	Olive_3-2-M_16_S53	Olive_3-2-M_16_S53	M	12	5_28_2019	6_18_2019	olive	0	NR	olive	NO	NA	NO	Ilium SF	cryobanking	olive	7_15_20
